id	geonames_id	name	latitude	longitude	population	feature_code
plc_01m0n2yy0fqhe7zdmzy81mq8t7	2642767	Melsonby	54.47253	-1.69481	735	PPL
plc_01m0n2yy0fqhe7zdmzy948j4x0	2642769	Melrose	55.59969	-2.7277	2500	PPL
plc_01m0n2yy0fqhe7zdmzycreb2g2	2642776	Mells	51.24	-2.39139	638	PPL
plc_01m0n2yy0fqhe7zdmzyct28y1j	2642780	Mellis	52.32954	1.07979	519	PPL
plc_01m0n2yy0fqhe7zdmzydb73x7y	2642786	Melksham	51.37281	-2.14002	19357	PPL
plc_01m0n2yy0fqhe7zdmzyefkmpz3	2642792	Meldreth	52.09396	0.00807	1783	PPL
plc_01m0n2yy0fqhe7zdmzyfp2b3ga	2642800	Melbourne	53.88755	-0.85925	793	PPLA3
plc_01m0n2yy0fqhe7zdmzyk2smj13	2642801	Melbourne	52.8219	-1.42522	4404	PPL
plc_01m0n2yy0fqhe7zdmzym3shjkf	2642802	Melbourn	52.08128	0.01514	4689	PPL
plc_01m0n2yy0fqhe7zdmzym87mh83	2642814	Meikle Earnock	55.75	-4.03333	54480	PPL
plc_01m0n2yy0fqhe7zdmzynnbhxrg	2642843	Measham	52.70644	-1.50637	5209	PPL
plc_01m0n2yy0fqhe7zdmzysfqz1c2	2642874	Mayland	51.68033	0.76715	3724	PPL
plc_01m0n2yy0fqhe7zdmzyx30chre	2642876	Mayfield	53	-1.76667	1125	PPL
plc_01m0n2yy0fqhe7zdmzyxcz42h0	2642882	Maybole	55.35503	-4.68026	4750	PPL
plc_01m0n2yy0fqhe7zdmzyyqddvqf	2642902	Maulden	52.03063	-0.46975	2357	PPLA3
plc_01m0n2yy0fqhe7zdmzyzgvvwmq	2642903	Maud	57.52165	-2.1257	870	PPL
plc_01m0n2yy0fqhe7zdmzz26zqjck	2642904	Mauchline	55.51604	-4.37928	4130	PPL
plc_01m0n2yy0fqhe7zdmzz4pc0815	2642905	Mattishall	52.65905	1.0325	2315	PPL
plc_01m0n2yy0fqhe7zdmzz54mvs47	2642910	Matlock	53.13838	-1.5556	14956	PPLA2
plc_01m0n2yy0fqhe7zdmzz8p6671m	2642921	Masham	54.2227	-1.65718	1205	PPL
plc_01m0n2yy0fqhe7zdmzz9ng8ajq	2642927	Maryport	54.71434	-3.49509	9555	PPL
plc_01m0n2yy0fqhe7zdmzzapt3m8z	2642947	Martock	50.97361	-2.76684	4522	PPL
plc_01m0n2yy0fqhe7zdmzzbpyy6xk	2642956	Martin	53.12499	-0.32719	684	PPL
plc_01m0n2yy0fqhe7zdmzzewg8h59	2642959	Martham	52.70464	1.63636	3405	PPL
plc_01m0n2yy0fqhe7zdmzzgfjv6zs	2642961	Marsworth	51.82246	-0.66613	741	PPL
plc_01m0n2yy0fqhe7zdmzzj7n25xm	2642963	Marston Moretaine	52.0641	-0.54932	3850	PPLA3
plc_01m0n2yy0fqhe7zdmzzjf6ek5n	2642967	Marston Magna	51	-2.58333	523	PPL
plc_01m0n2yy0fqhe7zdmzzkkfa06j	2642972	Marston	51.78051	-1.24485	3348	PPL
plc_01m0n2yy0fqhe7zdmzzm85nx4j	2642974	Marske-by-the-Sea	54.59147	-1.01959	8282	PPL
plc_01m0n2yy0fqhe7zdmzznazyggk	2642979	Marsh Gibbon	51.90265	-1.06115	969	PPL
plc_01m0n2yy0fqhe7zdmzzrtq1w9k	2642980	Marshfield	51.53389	-3.07306	3054	PPLA3
plc_01m0n2yy0fqhe7zdmzzs609awh	2642981	Marshfield	51.46194	-2.32	1441	PPLA3
plc_01m0n2yy0fqhe7zdmzzvdgdsx1	2642986	Marsham	52.76881	1.2533	521	PPL
plc_01m0n2yy0fqhe7zdmzzy29s9e9	2642992	Marsden	53.6	-1.91667	3889	PPL
plc_01m0n2yy0fqhe7zdmzzzttcdh4	2642999	Marple	53.39452	-2.06292	12970	PPL
plc_01m0n2yy0fqhe7zdn001w4akcp	2643001	Marnhull	50.97045	-2.31327	1483	PPL
plc_01m0n2yy0fqhe7zdn005kbd4ek	2643003	Marlow	51.56933	-0.77415	18261	PPL
plc_01m0n2yy0fqhe7zdn0062962vx	2643009	Marldon	50.45512	-3.59678	1838	PPL
plc_01m0n2yy0fqhe7zdn0066qhcs5	2643010	Marlborough	51.42027	-1.72949	8395	PPLA3
plc_01m0n2yy0fqhe7zdn0090w8d2r	2643011	Markyate	51.83846	-0.46345	2912	PPL
plc_01m0n2yy0fqhe7zdn00apcgzte	2643012	Marks Tey	51.87628	0.76424	3679	PPL
plc_01m0n2yy0fqhe7zdn00bjsftw7	2643016	Markinch	56.20214	-3.13517	2430	PPL
plc_01m0n2yy0fqhe7zdn00edvgfjv	2643019	Markfield	52.68747	-1.27476	4993	PPL
plc_01m0n2yy0fqhe7zdn00h46kjrt	2643021	Market Weighton	53.8631	-0.66505	6429	PPL
plc_01m0n2yy0fqhe7zdn00jwamv43	2643022	Market Warsop	53.20516	-1.15257	9018	PPL
plc_01m0n2yy0fqhe7zdn00p073s4t	2643023	Market Rasen	53.38764	-0.33781	4773	PPL
plc_01m0n2yy0fqhe7zdn00p8bmpqx	2643024	Market Overton	52.73806	-0.6863	584	PPLA3
plc_01m0n2yy0fqhe7zdn00ph9e8g5	2643025	Market Lavington	51.28756	-1.97729	2482	PPL
plc_01m0n2yy0fqhe7zdn00sxa7m70	2643027	Market Harborough	52.4776	-0.92053	24779	PPL
plc_01m0n2yy0fqhe7zdn00vts0cbh	2643028	Market Drayton	52.90538	-2.49012	11773	PPLA3
plc_01m0n2yy0fqhe7zdn00z1jes2z	2643029	Market Deeping	52.67654	-0.31629	13574	PPL
plc_01m0n2yy0fqhe7zdn00zbr8ec8	2643030	Market Bosworth	52.62428	-1.40174	2097	PPL
plc_01m0n2yy0fqhe7zdn010zx9ngy	2643035	Mark	51.22699	-2.89014	741	PPL
plc_01m0n2yy0fqhe7zdn0142czmj4	2643040	Marhamchurch	50.80513	-4.52241	658	PPL
plc_01m0n2yy0fqhe7zdn016e62a8a	2643041	Marham	52.65921	0.52159	733	PPL
plc_01m0n2yy0fqhe7zdn017pgs4yx	2643044	Margate	51.38132	1.38617	63322	PPL
plc_01m0n2yy0fqhe7zdn01a9hfg9c	2643045	Margaretting	51.69001	0.41499	527	PPL
plc_01m0n2yy0fqhe7zdn01dgkj7hf	2643054	Mareham le Fen	53.13184	-0.09005	944	PPL
plc_01m0n2yy0fqhe7zdn01fdwbptt	2643060	Marden	51.17482	0.48855	2466	PPL
plc_01m0n2yy0fqhe7zdn01g4ew2w1	2643064	Marchwood	50.88966	-1.4544	6141	PPL
plc_01m0n2yy0fqhe7zdn01k68zxq1	2643065	Marchwiel	53.0239	-2.96106	1092	PPL
plc_01m0n2yy0fqhe7zdn01mgd1j6v	2643068	Marchington	52.87545	-1.80244	615	PPL
