id	common_name	scientific_name	ebird_code
brd_01jzvcg83yfdxdvr3vxrt011g6	Dotterel	Eudromias morinellus	eurdot
brd_01jzvcg83z03x95acd3xp08vea	Killdeer	Charadrius vociferus	killde
brd_01jzvcg8400zrj4858sx69rt3m	Ringed plover	Charadrius hiaticula	corplo
brd_01jzvcg841w5tjmwnsgv3np4px	Semipalmated plover	Charadrius semipalmatus	semplo
brd_01jzvcg8422t8a31nmqaa718xs	Little ringed plover	Thinornis dubius	lirplo
brd_01jzvcg843ws9gzmy3j8z6dvqa	Lapwing	Vanellus vanellus	norlap
brd_01jzvcg844wcgck797gnf9445x	Grey-headed lapwing	Vanellus cinereus	gyhlap1
brd_01jzvcg845f0fwv6zwxtqe51wa	Sociable lapwing	Vanellus gregarius	soclap1
brd_01jzvcg846yk109vdr5jgc5dmb	White-tailed lapwing	Vanellus leucurus	whtlap1
brd_01jzvcg847k0f857w9c05ykxb5	Caspian plover	Anarhynchus asiaticus	casplo1
brd_01jzvcg8489asthn3gdfy3j3dq	Tibetan sand plover	Anarhynchus atrifrons	lessap1
brd_01jzvcg8491tyy1ydygn0fjtfp	Siberian sand plover	Anarhynchus mongolus	lessap2
brd_01jzvcg84a501q0bjhsta69e4b	Greater sand plover	Anarhynchus leschenaultii	grsplo
brd_01jzvcg84b4kwfhpjb8c88sm6e	Kentish plover	Anarhynchus alexandrinus	kenplo1
brd_01jzvcg84cawscd4ya65n897x2	Upland sandpiper	Bartramia longicauda	uplsan
brd_01jzvcg84dmf87kzh2pfh37fj9	Whimbrel	Numenius phaeopus	whimbr5
brd_01jzvcg84e0f43zrvaknbeb7xv	Hudsonian whimbrel	Numenius hudsonicus	whimbr3
brd_01jzvcg84fnz7vbetb71kr259e	Little whimbrel	Numenius minutus	litcur
brd_01jzvcg84g2p67hp5s8ya10frd	Eskimo curlew	Numenius borealis	eskcur
brd_01jzvcg84h5dg2wpyk1c9k4e44	Curlew	Numenius arquata	eurcur
brd_01jzvcg84jvab1paaq5b7pnyrp	Bar-tailed godwit	Limosa lapponica	batgod
brd_01jzvcg84kxssf7tamzvm136mt	Black-tailed godwit	Limosa limosa	bktgod
brd_01jzvcg84m18ne9wz5b5b2sbtv	Hudsonian godwit	Limosa haemastica	hudgod
brd_01jzvcg84nqxx9bssafv3zrq6v	Turnstone	Arenaria interpres	rudtur
brd_01jzvcg84p41adxjte7sf546y3	Great knot	Calidris tenuirostris	grekno
brd_01jzvcg84qm0ry40e5wbr2wbwh	Knot	Calidris canutus	redkno
brd_01jzvcg84rb751bvc2qc2htnce	Ruff	Calidris pugnax	ruff
brd_01jzvcg84saja127zc5bwh1hh9	Broad-billed sandpiper	Calidris falcinellus	brbsan
brd_01jzvcg84tkwgjx9dvb316way2	Sharp-tailed sandpiper	Calidris acuminata	shtsan
brd_01jzvcg84v0xtzffym4ajjcqsj	Stilt sandpiper	Calidris himantopus	stisan
brd_01jzvcg84wknv4f3xxqn7rbrrs	Curlew sandpiper	Calidris ferruginea	cursan
brd_01jzvcg84x7jj7n9ka0bdtntzh	Temminck's stint	Calidris temminckii	temsti
brd_01jzvcg84ysnp26y6j2ff51yr4	Long-toed stint	Calidris subminuta	lotsti
brd_01jzvcg84zwqqr286j23zcymtk	Red-necked stint	Calidris ruficollis	rensti
brd_01jzvcg850ewxax12zda42j2kv	Sanderling	Calidris alba	sander
brd_01jzvcg851fef6gnqyacpa7za7	Dunlin	Calidris alpina	dunlin
brd_01jzvcg8529xbcjqddqqeak3xt	Purple sandpiper	Calidris maritima	pursan
brd_01jzvcg853cfg6r06x562t4g6w	Baird's sandpiper	Calidris bairdii	baisan
brd_01jzvcg854r693ewpxtebkcgdh	Little stint	Calidris minuta	litsti
brd_01jzvcg855rxnqq7w6ft2yr8bd	Least sandpiper	Calidris minutilla	leasan
brd_01jzvcg856ex6h5yxez0kbg0za	White-rumped sandpiper	Calidris fuscicollis	whrsan
brd_01jzvcg857xywhty8da44hbm8q	Buff-breasted sandpiper	Calidris subruficollis	bubsan
brd_01jzvcg858z5abehf8gv2me1jf	Pectoral sandpiper	Calidris melanotos	pecsan
brd_01jzvcg859vhmjpxrr004y1076	Semipalmated sandpiper	Calidris pusilla	semsan
brd_01jzvcg85aqnen05ha6hvp8scj	Western sandpiper	Calidris mauri	wessan
brd_01jzvcg85b6me3hjyp48m02cek	Long-billed dowitcher	Limnodromus scolopaceus	lobdow
brd_01jzvcg85c4fgnpq90bm3xqhbn	Short-billed dowitcher	Limnodromus griseus	shbdow
brd_01jzvcg85djzj6t7xpmkg0z1cg	Woodcock	Scolopax rusticola	eurwoo
brd_01jzvcg85eh2c8nyk84s691wgv	Jack snipe	Lymnocryptes minimus	jacsni
brd_01jzvcg85fv16d5y9atx9jcazh	Great snipe	Gallinago media	gresni1
brd_01jzvcg85g5mb1ktvh2ev5srxy	Snipe	Gallinago gallinago	comsni
brd_01jzvcg85hqp78m9ksjrbexkkk	Wilson's snipe	Gallinago delicata	wilsni1
brd_01jzvcg85jhm3wg7syng64pcvm	Terek sandpiper	Xenus cinereus	tersan
brd_01jzvcg85kkfjh6dznxtwdjr8f	Wilson's phalarope	Phalaropus tricolor	wilpha
brd_01jzvcg85mfhh7nw23qtnxk0cy	Red-necked phalarope	Phalaropus lobatus	renpha
brd_01jzvcg85nzjdk5n4zbfef5k7z	Grey phalarope	Phalaropus fulicaria	
brd_01jzvcg85pahmm08n3wrwhtkwn	Common sandpiper	Actitis hypoleucos	comsan
brd_01jzvcg85qp3t3cpt7hk5t4g8t	Spotted sandpiper	Actitis macularius	sposan
brd_01jzvcg85rp14yvcafw6hy64h1	Green sandpiper	Tringa ochropus	grnsan
brd_01jzvcg85srchb15fx8wan4bmk	Solitary sandpiper	Tringa solitaria	solsan
brd_01jzvcg85twbk4z31xxn441c1d	Grey-tailed tattler	Tringa brevipes	gyttat1
brd_01jzvcg85vdt1yc7s9339c8dc2	Lesser yellowlegs	Tringa flavipes	lesyel
brd_01jzvcg85wbh3cgsxke35zre2b	Redshank	Tringa totanus	comred1
brd_01jzvcg85xv9scnj0z4n7b2wg9	Marsh sandpiper	Tringa stagnatilis	marsan
brd_01jzvcg85ysvj5tjd5wf8r5s62	Wood sandpiper	Tringa glareola	woosan
brd_01jzvcg85za39jkwkmg516beq4	Spotted redshank	Tringa erythropus	spored
brd_01jzvcg860gbvrtgj9tqq613ce	Greenshank	Tringa nebularia	comgre
brd_01jzvcg861633antfv6nvz4q0w	Greater yellowlegs	Tringa melanoleuca	greyel
brd_01jzvcg86264dmgpxq36kkfrcy	Cream-coloured courser	Cursorius cursor	crccou1
brd_01jzvcg863xppaj7bfctdgym1p	Collared pratincole	Glareola pratincola	colpra
brd_01jzvcg864v6jyn6xf68q5vywt	Oriental pratincole	Glareola maldivarum	oripra
brd_01jzvcg8656x6xyqy9p8tyn6r7	Black-winged pratincole	Glareola nordmanni	blwpra1
brd_01jzvcg866k6s974pk6yegtf1r	Kittiwake	Rissa tridactyla	bklkit
brd_01jzvcg867d7r0gzh1jw19ztv6	Ivory gull	Pagophila eburnea	ivogul
brd_01jzvcg868fwgrtva1b7d68jm0	Sabine's gull	Xema sabini	sabgul
brd_01jzvcg8695xz8rt1a2eggkfpz	Slender-billed gull	Chroicocephalus genei	slbgul1
brd_01jzvcg86afkvxf3nph5tpp27e	Bonaparte's gull	Chroicocephalus philadelphia	bongul
brd_01jzvcg86bx3217zb74h2gftrz	Black-headed gull	Chroicocephalus ridibundus	bkhgul
brd_01jzvcg86cgnryqvb4ntnzpgd5	Little gull	Hydrocoloeus minutus	litgul
brd_01jzvcg86dj93ed6p0b1449z8x	Ross's gull	Rhodostethia rosea	rosgul
brd_01jzvcg86ef4kavfyc6bc5ech3	Laughing gull	Leucophaeus atricilla	laugul
brd_01jzvcg86fm47djfpjms5qc74n	Franklin's gull	Leucophaeus pipixcan	fragul
brd_01jzvcg86g20qc9khj1aa15506	Audouin's gull	Ichthyaetus audouinii	audgul1
brd_01jzvcg86hx242hqyzd709djbw	Mediterranean gull	Ichthyaetus melanocephalus	medgul1
brd_01jzvcg86jmvmdhx231mphzd2r	Great black-headed gull	Ichthyaetus ichthyaetus	gbhgul2
brd_01jzvcg86kr2t19by7pk562687	Common gull	Larus canus	mewgul
brd_01jzvcg86mve6pa918qe9skjv6	Ring-billed gull	Larus delawarensis	ribgul
brd_01jzvcg86nvyp5hqf5vjt38ddz	Great black-backed gull	Larus marinus	gbbgul
brd_01jzvcg86pgnek5k8hqna2y5y1	Kelp gull	Larus dominicanus	kelgul
brd_01jzvcg86q80ppz6ya39aqt2bb	Glaucous-winged gull	Larus glaucescens	glwgul
brd_01jzvcg86rgp4sb7zt29h3vfjr	Glaucous gull	Larus hyperboreus	glagul
brd_01jzvcg86sj9a73zavmsgt77xb	Iceland gull	Larus glaucoides	y00478
brd_01jzvcg86tat77b4ywdfcywt50	European herring gull	Larus argentatus	euhgul1
brd_01jzvcg86vvqgpk9nthb6kzjnn	American herring gull	Larus smithsonianus	amhgul1
brd_01jzvcg86w8jej9svdzs1rqsaq	Caspian gull	Larus cachinnans	casgul2
brd_01jzvcg86xtdt3eb1b2ww0vc23	Yellow-legged gull	Larus michahellis	yelgul1
brd_01jzvcg86y92zhc4ne80tnsnea	Slaty-backed gull	Larus schistisagus	slbgul
brd_01jzvcg86zcpw2p9bve96db9te	Lesser black-backed gull	Larus fuscus	lbbgul
brd_01jzvcg8703sdszbtvw5s8rb5d	Gull-billed tern	Gelochelidon nilotica	gubter2
brd_01jzvcg871az0mt3tfnv34cc00	Caspian tern	Hydroprogne caspia	caster1
brd_01jzvcg872h7nvhsnd2zwbs962	Royal tern	Thalasseus maximus	royter1
brd_01jzvcg873545jh99k82hskpmg	Lesser crested tern	Thalasseus bengalensis	lecter2
brd_01jzvcg874w9qryhahwhv4a4ch	Sandwich tern	Thalasseus sandvicensis	santer1
brd_01jzvcg8753p9vws2s2h48p0hn	Cabot's tern	Thalasseus acuflavida	
brd_01jzvcg876jg25s2mxc85zykae	Elegant tern	Thalasseus elegans	eleter1
brd_01jzvcg8773hec14bxn7r1d2pp	Little tern	Sternula albifrons	litter1
brd_01jzvcg87809sk8wawcrhwyakh	Least tern	Sternula antillarum	leater1
brd_01jzvcg879d7cq7zstnxs1ctq8	Aleutian tern	Onychoprion aleutica	
brd_01jzvcg87a46xv7zpma7pnxgby	Bridled tern	Onychoprion anaethetus	briter1
brd_01jzvcg87b1ywfmbpq8q0ggx40	Sooty tern	Onychoprion fuscata	
brd_01jzvcg87cy2txn76mvrfmc5j3	Roseate tern	Sterna dougallii	roster
brd_01jzvcg87d6j830jvz5vw1c1zw	Common tern	Sterna hirundo	comter
brd_01jzvcg87ek9yfsq9drpy96kyt	Arctic tern	Sterna paradisaea	arcter
brd_01jzvcg87f965gsjvdta6tnjsr	Forster's tern	Sterna forsteri	forter
brd_01jzvcg87g7ygm9g84qddgcznq	Whiskered tern	Chlidonias hybridus	
brd_01jzvcg87havy273qe50zp02ew	White-winged black tern	Chlidonias leucopterus	whwter
brd_01jzvcg87jz6dvd2zaa07dn4pc	Black tern	Chlidonias niger	blkter
brd_01jzvcg87kefgadrmyqgfke8mf	South polar skua	Stercorarius maccormicki	sopsku1
brd_01jzvcg87m4yzx2f2aa8vgrea2	Great skua	Stercorarius skua	gresku1
brd_01jzvcg87n15trx2sbxsgqnasv	Pomarine skua	Stercorarius pomarinus	pomjae
brd_01jzvcg87pmmydn7axq1vmdz3q	Arctic skua	Stercorarius parasiticus	parjae
brd_01jzvcg87qjmwgtp9cp7gva7dr	Long-tailed skua	Stercorarius longicaudus	lotjae
brd_01jzvcg87rtt30fyb54e4rg6z2	Little auk	Alle alle	doveki
brd_01jzvcg87syaxgy2v3fq2ys8qy	Brünnich's guillemot	Uria lomvia	thbmur
brd_01jzvcg87txvnfrefg40e9t46k	Common guillemot	Uria aalge	commur
brd_01jzvcg87vf8gdx7chna38v6nr	Razorbill	Alca torda	razorb
brd_01jzvcg87wsvf7epxtzyjd5c8z	Great auk	Pinguinus impennis	greauk
brd_01jzvcg87xtzenycq7tf4x4473	Black guillemot	Cepphus grylle	blkgui
brd_01jzvcg87ymn7pvnrp2rzb0nmx	Long-billed murrelet	Brachyramphus perdix	lobmur
brd_01jzvcg87zme31s05tp97zysaw	Ancient murrelet	Synthliboramphus antiquus	ancmur
brd_01jzvcg880b6wtgby97kj609vr	Puffin	Fratercula arctica	atlpuf
brd_01jzvcg881ph55m9aqq00n7kx0	Tufted puffin	Fratercula cirrhata	tufpuf
brd_01jzvcg882493z7pkbwr6h2t9p	Red-billed tropicbird	Phaethon aethereus	rebtro
brd_01jzvcg8830n0abvgzkcev6gzf	Red-throated diver	Gavia stellata	retloo
brd_01jzvcg884nr1jacax2jg3a23q	Black-throated diver	Gavia arctica	arcloo
brd_01jzvcg8854t9mz9y1en9wvjdb	Pacific diver	Gavia pacifica	pacloo
brd_01jzvcg8863qdtz5jbx34eym0q	Great northern diver	Gavia immer	comloo
brd_01jzvcg8878jqv3tmja3r6k182	White-billed diver	Gavia adamsii	yebloo
brd_01jzvcg8887vn4kvsa4vhas1af	Wilson's storm petrel	Oceanites oceanicus	wispet
brd_01jzvcg889ycjaaxrcwnhxg9a2	White-faced storm petrel	Pelagodroma marina	wfspet
brd_01jzvcg88a4hren9anxpam4192	Black-browed albatross	Thalassarche melanophris	bkbalb
brd_01jzvcg88bysxc38grfa8wt2jq	Atlantic yellow-nosed albatross	Thalassarche chlororhynchos	yenalb2
brd_01jzvcg88cjjzdbhg3sv4b8syb	Storm petrel	Hydrobates pelagicus	bripet
brd_01jzvcg88d0xwgmwrjgn3pmwh5	Swinhoe's petrel	Hydrobates monorhis	swspet
brd_01jzvcg88ef4r7wfr17hc250f8	Leach's petrel	Hydrobates leucorhous	lcspet
brd_01jzvcg88fr484bh6y9f4vsf5h	Madeiran petrel	Hydrobates castro	barpet
brd_01jzvcg88gppjwj64bapd8k7wq	Fulmar	Fulmarus glacialis	norful
brd_01jzvcg88h57b07m9j5sctvsgg	Soft-plumaged petrel	Pterodroma mollis	soppet1
brd_01jzvcg88jmptkqd4fgnhn25w8	Zino's petrel	Pterodroma madeira	madpet
brd_01jzvcg88k3m5n3899pb8xw3k5	Black-capped petrel	Pterodroma hasitata	bkcpet
brd_01jzvcg88mvev1ah359k030kxw	White-chinned petrel	Procellaria aequinoctialis	whcpet1
brd_01jzvcg88n3p2sgqbxgzqyt9r4	Scopoli's shearwater	Calonectris diomedea	scoshe1
brd_01jzvcg88pgsdkkc5efa1pg52w	Cory's shearwater	Calonectris borealis	corshe1
brd_01jzvcg88qzz4h80z9hezct2kp	Sooty shearwater	Ardenna grisea	sooshe
brd_01jzvcg88rsm3an2gjz8qm8hyv	Great shearwater	Ardenna gravis	greshe
brd_01jzvcg88s957zmp4zd7mhq336	Manx shearwater	Puffinus puffinus	manshe
brd_01jzvcg88t0jf3dk93gre4tdh0	Yelkouan shearwater	Puffinus yelkouan	levshe1
brd_01jzvcg88v5yb8x39x0nhyh4zz	Balearic shearwater	Puffinus mauretanicus	balshe1
brd_01jzvcg88wcwm1v2yhanss29q0	Barolo shearwater	Puffinus baroli	litshe1
brd_01jzvcg88xm5zcjvck8jk8rt5t	Black stork	Ciconia nigra	blasto1
brd_01jzvcg88y82z8z60drmfw7gp6	White stork	Ciconia ciconia	whisto1
brd_01jzvcg88zyg7sm3epfemc4c80	Ascension frigatebird	Fregata aquila	asifri1
